"SHAKERTOWN" ,2-15-054-5,284,267,29,28,3,1,0,0,0,292,320,612,F105
"FOSTER" ,4-24-070-6,503,382,40,20,5,0,0,0,0,483,466,950,A101
"AUGUSTA W" ,4-24-070-6,466,278,32,33,3,0,0,0,0,394,418,812,B101
"AUGUSTA E" ,4-24-070-6,511,271,30,22,3,0,0,0,0,401,435,837,C101
"BERLIN" ,4-24-070-6,537,282,23,21,1,1,0,0,0,430,435,865,D101
"CHATHAM" ,4-24-070-6,498,227,29,9,3,0,0,0,0,383,381,766,E101
"BROOKSVILLE" ,4-24-070-6,525,254,20,17,0,2,0,0,0,357,461,818,F101
"MILFORD" ,4-24-070-6,483,328,27,20,0,0,0,0,0,443,415,858,G101
"GERMANTOWN" ,4-24-070-6,564,242,22,17,3,0,0,0,0,434,413,848,H101
"COURTHOUSE" ,5-30-091-7,162,25,3,4,1,0,0,0,0,101,94,195,A101
"VANCLEVE" ,5-30-091-7,615,172,25,10,3,1,0,0,0,406,418,826,A102
"WAR CREEK" ,5-30-091-7,743,193,21,10,2,0,0,0,0,470,499,969,A103
"CITY #2" ,5-30-091-7,410,61,7,5,0,0,0,0,0,222,261,483,A104
"BLANTON BRIDGE" ,5-30-091-7,382,51,9,2,0,0,0,0,0,213,231,444,A105
"OAKDALE" ,5-30-091-7,305,81,19,7,0,0,0,0,0,178,234,412,B101
"BIG ROCK" ,5-30-091-7,447,64,17,9,0,0,0,0,0,264,272,537,B102
"SHOULDERBLADE" ,5-30-091-7,606,82,17,5,0,0,0,0,0,350,359,710,B103
"TURNERS CREEK" ,5-30-091-7,489,56,1,4,0,0,0,0,0,266,283,550,B104
